Learning Rate,Epochs,Accuracy
0.0001,100,0.8830409356725146
0.0001,500,0.8771929824561403
0.0001,1000,0.8771929824561403
0.001,100,0.8771929824561403
0.001,500,0.8771929824561403
0.001,1000,0.8771929824561403
0.01,100,0.10526315789473684
0.01,500,0.6257309941520468
0.01,1000,0.6257309941520468
