Learning Rate,Epochs,Accuracy
0.001,10,0.8362573099415205
0.001,50,0.8070175438596491
0.001,100,0.8538011695906432
0.01,10,0.8362573099415205
0.01,50,0.8070175438596491
0.01,100,0.8538011695906432
0.1,10,0.8362573099415205
0.1,50,0.8070175438596491
0.1,100,0.8538011695906432
